time,reference,output,control
0.558,1,0.779125,1.33003
0.559,1,0.779674,1.32821
0.56,1,0.780221,1.32639
0.561,1,0.780765,1.32458
0.562,1,0.781307,1.32278
0.563,1,0.781847,1.32099
0.564,1,0.782384,1.3192
0.565,1,0.782919,1.31743
0.566,1,0.783452,1.31566
0.567,1,0.783982,1.3139
0.568,1,0.784511,1.31215
0.569,1,0.785037,1.31041
0.57,1,0.78556,1.30867
0.571,1,0.786082,1.30694
0.572,1,0.786601,1.30523
0.573,1,0.787118,1.30351
0.574,1,0.787632,1.30181
0.575,1,0.788145,1.30012
0.576,1,0.788655,1.29843
0.577,1,0.789163,1.29675
0.578,1,0.789669,1.29508
0.579,1,0.790173,1.29341
0.58,1,0.790674,1.29176
0.581,1,0.791174,1.29011
0.582,1,0.791671,1.28847
0.583,1,0.792166,1.28684
0.584,1,0.792659,1.28521
0.585,1,0.79315,1.28359
0.586,1,0.793639,1.28198
0.587,1,0.794126,1.28038
0.588,1,0.794611,1.27878
0.589,1,0.795093,1.2772
0.59,1,0.795574,1.27561
0.591,1,0.796052,1.27404
0.592,1,0.796529,1.27247
0.593,1,0.797003,1.27092
0.594,1,0.797475,1.26936
0.595,1,0.797946,1.26782
0.596,1,0.798414,1.26628
0.597,1,0.79888,1.26475
0.598,1,0.799345,1.26323
0.599,1,0.799807,1.26171
0.6,1,0.800267,1.2602
0.601,1,0.800726,1.2587
0.602,1,0.801182,1.25721
0.603,1,0.801637,1.25572
0.604,1,0.802089,1.25424
0.605,1,0.80254,1.25276
0.606,1,0.802989,1.2513
0.607,1,0.803436,1.24984
0.608,1,0.803881,1.24838
0.609,1,0.804324,1.24694
0.61,1,0.804765,1.2455
0.611,1,0.805204,1.24406
0.612,1,0.805642,1.24264
0.613,1,0.806077,1.24122
0.614,1,0.806511,1.2398
0.615,1,0.806943,1.23839
0.616,1,0.807373,1.23699
0.617,1,0.807801,1.2356
0.618,1,0.808228,1.23421
0.619,1,0.808652,1.23283
0.62,1,0.809075,1.23146
0.621,1,0.809496,1.23009
0.622,1,0.809915,1.22873
0.623,1,0.810333,1.22737
0.624,1,0.810748,1.22602
0.625,1,0.811162,1.22468
0.626,1,0.811574,1.22334
0.627,1,0.811985,1.22201
0.628,1,0.812394,1.22069
0.629,1,0.812801,1.21937
0.63,1,0.813206,1.21806
0.631,1,0.813609,1.21675
0.632,1,0.814011,1.21545
0.633,1,0.814411,1.21416
0.634,1,0.81481,1.21287
0.635,1,0.815207,1.21159
0.636,1,0.815602,1.21031
0.637,1,0.815995,1.20904
0.638,1,0.816387,1.20778
