time,reference,output,u_sat,u_unsat,integrator,disturbance
0.16,3,0.44633,3,3.5547,-2.20656,0
0.161,3,0.448883,3,3.54387,-2.20673,0
0.162,3,0.451434,3,3.53321,-2.20684,0
0.163,3,0.453983,3,3.52271,-2.20691,0
0.164,3,0.456529,3,3.51238,-2.20692,0
0.165,3,0.459072,3,3.50219,-2.20689,0
0.166,3,0.461613,3,3.49217,-2.20681,0
0.167,3,0.464152,3,3.4823,-2.20668,0
0.168,3,0.466688,3,3.47257,-2.20651,0
0.169,3,0.469221,3,3.463,-2.20629,0
0.17,3,0.471752,3,3.45357,-2.20603,0
0.171,3,0.47428,3,3.44429,-2.20572,0
0.172,3,0.476806,3,3.43515,-2.20537,0
0.173,3,0.479329,3,3.42615,-2.20498,0
0.174,3,0.481849,3,3.41728,-2.20455,0
0.175,3,0.484368,3,3.40855,-2.20407,0
0.176,3,0.486883,3,3.39995,-2.20355,0
0.177,3,0.489396,3,3.39149,-2.203,0
0.178,3,0.491907,3,3.38316,-2.2024,0
0.179,3,0.494415,3,3.37495,-2.20177,0
0.18,3,0.496921,3,3.36687,-2.2011,0
0.181,3,0.499424,3,3.35891,-2.20039,0
0.182,3,0.501924,3,3.35107,-2.19965,0
0.183,3,0.504422,3,3.34335,-2.19886,0
0.184,3,0.506918,3,3.33576,-2.19805,0
0.185,3,0.509411,3,3.32827,-2.1972,0
0.186,3,0.511902,3,3.32091,-2.19631,0
0.187,3,0.51439,3,3.31365,-2.19539,0
0.188,3,0.516875,3,3.30651,-2.19444,0
0.189,3,0.519358,3,3.29948,-2.19345,0
0.19,3,0.521839,3,3.29255,-2.19243,0
0.191,3,0.524317,3,3.28573,-2.19138,0
0.192,3,0.526793,3,3.27902,-2.1903,0
0.193,3,0.529266,3,3.2724,-2.18919,0
0.194,3,0.531737,3,3.26589,-2.18805,0
0.195,3,0.534205,3,3.25949,-2.18688,0
0.196,3,0.536671,3,3.25317,-2.18568,0
0.197,3,0.539134,3,3.24696,-2.18445,0
0.198,3,0.541595,3,3.24084,-2.18319,0
