time,reference,output,control
0.514,1,0.610211,1.02232
0.515,1,0.610622,1.02128
0.516,1,0.611032,1.02025
0.517,1,0.61144,1.01923
0.518,1,0.611847,1.01821
0.519,1,0.612252,1.01719
0.52,1,0.612656,1.01618
0.521,1,0.613059,1.01517
0.522,1,0.61346,1.01417
0.523,1,0.61386,1.01318
0.524,1,0.614258,1.01219
0.525,1,0.614655,1.0112
0.526,1,0.61505,1.01022
0.527,1,0.615445,1.00924
0.528,1,0.615838,1.00827
0.529,1,0.616229,1.0073
0.53,1,0.616619,1.00634
0.531,1,0.617008,1.00538
0.532,1,0.617395,1.00443
0.533,1,0.617781,1.00348
0.534,1,0.618166,1.00254
0.535,1,0.61855,1.0016
0.536,1,0.618932,1.00066
0.537,1,0.619312,0.999734
0.538,1,0.619692,0.998809
0.539,1,0.62007,0.997888
0.54,1,0.620447,0.996972
0.541,1,0.620823,0.99606
0.542,1,0.621197,0.995153
0.543,1,0.62157,0.99425
0.544,1,0.621942,0.993351
0.545,1,0.622312,0.992457
0.546,1,0.622682,0.991568
0.547,1,0.62305,0.990682
0.548,1,0.623416,0.989802
0.549,1,0.623782,0.988925
0.55,1,0.624146,0.988053
0.551,1,0.624509,0.987185
0.552,1,0.624871,0.986321
0.553,1,0.625232,0.985461
0.554,1,0.625591,0.984606
0.555,1,0.625949,0.983755
0.556,1,0.626306,0.982908
0.557,1,0.626662,0.982066
0.558,1,0.627016,0.981227
0.559,1,0.62737,0.980393
0.56,1,0.627722,0.979563
0.561,1,0.628073,0.978736
0.562,1,0.628423,0.977914
0.563,1,0.628772,0.977096
0.564,1,0.629119,0.976282
0.565,1,0.629465,0.975472
0.566,1,0.629811,0.974666
0.567,1,0.630155,0.973864
0.568,1,0.630498,0.973066
0.569,1,0.630839,0.972272
0.57,1,0.63118,0.971482
0.571,1,0.631519,0.970696
0.572,1,0.631858,0.969914
0.573,1,0.632195,0.969135
0.574,1,0.632531,0.968361
0.575,1,0.632866,0.96759
0.576,1,0.6332,0.966823
0.577,1,0.633533,0.96606
0.578,1,0.633865,0.965301
0.579,1,0.634196,0.964545
0.58,1,0.634525,0.963794
0.581,1,0.634854,0.963046
0.582,1,0.635181,0.962301
0.583,1,0.635508,0.961561
0.584,1,0.635833,0.960824
0.585,1,0.636157,0.96009
0.586,1,0.63648,0.959361
0.587,1,0.636803,0.958635
0.588,1,0.637124,0.957912
0.589,1,0.637444,0.957194
0.59,1,0.637763,0.956479
0.591,1,0.638081,0.955767
0.592,1,0.638398,0.955059
0.593,1,0.638714,0.954354
0.594,1,0.639029,0.953653
0.595,1,0.639343,0.952956
0.596,1,0.639655,0.952262
0.597,1,0.639967,0.951571
0.598,1,0.640278,0.950884
0.599,1,0.640588,0.950201
0.6,1,0.640897,0.94952
0.601,1,0.641205,0.948844
0.602,1,0.641512,0.94817
0.603,1,0.641818,0.9475
0.604,1,0.642123,0.946833
0.605,1,0.642427,0.94617
0.606,1,0.64273,0.94551
0.607,1,0.643032,0.944853
0.608,1,0.643333,0.9442
0.609,1,0.643634,0.94355
0.61,1,0.643933,0.942903
0.611,1,0.644231,0.94226
0.612,1,0.644529,0.941619
0.613,1,0.644825,0.940982
0.614,1,0.645121,0.940348
0.615,1,0.645415,0.939717
0.616,1,0.645709,0.93909
0.617,1,0.646002,0.938465
0.618,1,0.646294,0.937844
0.619,1,0.646584,0.937226
0.62,1,0.646874,0.936611
0.621,1,0.647164,0.935999
0.622,1,0.647452,0.935391
0.623,1,0.647739,0.934785
0.624,1,0.648026,0.934182
0.625,1,0.648311,0.933583
0.626,1,0.648596,0.932986
0.627,1,0.64888,0.932393
0.628,1,0.649163,0.931802
0.629,1,0.649445,0.931215
0.63,1,0.649726,0.93063
0.631,1,0.650006,0.930048
0.632,1,0.650286,0.92947
0.633,1,0.650564,0.928894
0.634,1,0.650842,0.928321
0.635,1,0.651119,0.927751
0.636,1,0.651395,0.927185
0.637,1,0.65167,0.92662
0.638,1,0.651945,0.926059
0.639,1,0.652218,0.925501
0.64,1,0.652491,0.924945
0.641,1,0.652763,0.924393
0.642,1,0.653034,0.923843
0.643,1,0.653304,0.923296
